"","vegetation.type","myrtaceae","fabaceae","rubiaceae"
"487","Rainforest",18,43,6
"488","Rainforest",25,14,9
"489","Rainforest",49,67,18
"490","Rainforest",50,32,28
"491","Rainforest",73,71,36
"492","Rainforest",38,28,20
"493","Rainforest",57,69,22
"494","Rainforest",42,48,7
"495","Rainforest",40,63,21
"496","Rainforest",57,50,23
"497","Rainforest",35,54,25
"498","Rainforest",36,57,11
"499","Rainforest",76,73,33
"500","Rainforest",28,55,16
"501","Rainforest",53,74,29
"502","Rainforest",10,39,3
"503","Rainforest",16,21,10
"504","Rainforest",35,24,11
"505","Rainforest",25,32,12
"506","Rainforest",28,44,11
"507","Rainforest",24,37,12
"508","Rainforest",44,48,19
"509","Rainforest",26,39,14
"510","Rainforest",4,39,4
"511","Rainforest",30,26,27
"512","Rainforest",7,32,41
"513","Rainforest",9,54,4
"514","Rainforest",49,59,26
"515","Rainforest",55,40,19
"516","Rainforest",26,36,8
"517","Rainforest",8,84,37
"518","Rainforest",22,79,5
"519","Rainforest",22,35,8
"520","Rainforest",17,63,6
"521","Rainforest",48,73,16
"522","Rainforest",18,46,6
"523","Rainforest",77,5,27
"524","Rainforest",47,82,10
"525","Rainforest",46,57,14
"526","Rainforest",32,59,7
"527","Rainforest",46,75,11
"528","Rainforest",35,69,5
"529","Rainforest",25,62,6
"530","Rainforest",25,50,3
"531","Rainforest",26,58,7
"532","Rainforest",27,54,6
"533","Rainforest",22,55,9
"534","Rainforest",43,67,26
"535","Rainforest",50,75,22
"536","Rainforest",9,11,9
"537","Rainforest",43,83,28
"538","Rainforest",35,62,18
"539","Rainforest",47,88,30
"540","Rainforest",41,69,20
"541","Rainforest",16,41,15
"542","Rainforest",18,33,26
"543","Rainforest",18,36,11
"544","Rainforest",20,37,14
"545","Rainforest",72,85,38
"546","Rainforest",15,20,27
"547","Rainforest",4,31,10
"548","Rainforest",48,76,29
"549","Rainforest",5,31,5
"550","Rainforest",70,4,31
"551","Rainforest",17,15,22
"552","Rainforest",42,86,19
"553","Rainforest",15,34,18
"554","Rainforest",57,68,27
"555","Rainforest",42,59,30
"556","Rainforest",22,68,14
"557","Rainforest",36,63,28
"558","Rainforest",25,53,19
"559","Rainforest",13,28,9
"560","Rainforest",13,28,11
"561","Rainforest",6,57,21
"562","Rainforest",7,34,10
"563","Rainforest",13,44,16
"564","Rainforest",2,24,14
"565","Rainforest",14,42,20
"566","Rainforest",6,19,10
"567","Rainforest",6,41,9
"568","Rainforest",13,44,11
"569","Rainforest",35,57,27
"570","Rainforest",20,51,17
"571","Rainforest",5,8,43
"572","Rainforest",16,25,4
"573","Rainforest",19,36,14
"574","Rainforest",20,35,11
"575","Rainforest",25,37,10
"576","Rainforest",21,45,15
"577","Rainforest",14,33,6
"578","Rainforest",14,20,43
"579","Rainforest",24,17,4
"580","Rainforest",19,21,24
"581","Rainforest",16,24,41
"582","Rainforest",13,11,41
"583","Rainforest",10,21,41
"584","Rainforest",20,43,15
"585","Rainforest",7,28,7
"586","Rainforest",17,33,10
"587","Rainforest",5,25,4
"588","Rainforest",6,30,7
"589","Rainforest",5,31,10
"590","Rainforest",4,39,10
"591","Rainforest",15,30,16
"592","Rainforest",16,28,5
"593","Rainforest",3,22,7
"594","Rainforest",7,32,10
"595","Rainforest",9,32,8
"596","Rainforest",17,29,6
"597","Rainforest",2,34,19
"598","Rainforest",1,23,7
"599","Rainforest",7,29,43
"600","Rainforest",15,37,5
"601","Rainforest",17,32,11
"602","Rainforest",30,42,6
"603","Rainforest",11,21,7
"604","Rainforest",9,31,43
"605","Rainforest",5,26,41
"606","Rainforest",15,31,44
"607","Rainforest",10,26,7
